单词,次数
saidfifty,1
todaywhat,1
smilethank,1
youalbertwere,1
oldertonight,1
dressand,1
feeteveryone,1
nowlets,1
dinnershe,1
looks,1
nicejackiewhat,1
flowersdiane,1
girlwith,1
eyesshe,1
sonher,1
second,1
childhe,1
cambridgein,1
roadalbert,1
saidwho,1
youmolly,1
hobbsfrom,1
roadjackie,1
quicklyshe,1
week,1
likealbert,1
nothingeveryone,1
eat,1
aunt,1
anniejackie,1
stays,1
timeshe,1
nurse,1
twentyfour,1
hours,1
sorrymolly,1
mollyits,1
expensiveyou,1
knowannie,1
feels,1
unhappy,1
visit,1
hermollyshe,1
muchyou,1
sisteryou,1
thatalberti,1
oldbut,1
herlittlesisterwellwe,1
laughedoh,1
yeswe,1
laterits,1
youmollyalways,1
tomorrownever,1
motherher,1
albertmolly,1
liked,1
annie,1
visiting,1
dressdianeis,1
newjackie,1
youjackieyesits,1
newand,1
expensivei,1
wednesdaydiane,1
expensivejackie,1
cheap,1
thingsdiane,1
sooni,1
americacan,1
meroger,1
oh,1
saidnobody,1
workingwe,1
thatbut,1
laughedit,1
matterrogeri,1
helpmother,1
helps,1
memother,1
bestshe,1
smileda,1
quickbeautiful,1
smilebut,1
cold,1
mothermollys,1
whitejackie,1
understandwas,1
dianejackie,1
meatuncle,1
askedrogercan,1
wine,1
everyonethis,1
timeyesyour,1
yesalbert,1
mollyexpensivetoo,1
weekendrogerjackie,1
quicklyhes,1
briggsbriggsmolly,1
saidsuddenly,1
mani,1
saysi,1
househes,1
teeth,1
bagexcuse,1
cigarettesalways,1
mouthmolly,1
itcigarettes,1
eveningbut,1
winewellmotherperhaps,1
rightthe,1
bigyou,1
knowhe,1
saidits,1
youthe,1
bigtooyoure,1
nowyou,1
dayi,1
theremolly,1
upi,1
free,1
dinneryou,1
houseand,1
moneywellyou,1
waitnobody,1
menot,1
thatmotherjackie,1
doori,1
nowim,1
roomnobody,1
womandiane,1
nothingalbert,1
head,1
downillshes,1
angrythats,1
allhe,1
saidmolly,1
gets,1
moneywhy,1
sisterannies,1
soonmolly,1
knows,1
upwould,1
coffeecome,1
quietsuddenly,1
rogershis,1
roomroger,1
clockit,1
oclockhe,1
quietlyat,1
same,1
outher,1
rogerit,1
s,1
brought,1
deadshes,1
deaddead,1
bedshe,1
inthe,1
open,1
warmmolly,1
bedone,1
headroger,1
armit,1
coldon,1
doctordiane,1
deadroger,1
slowlyhis,1
facetoowas,1
whitemother,1
doorim,1
doctorshe,1
minuteroger,1
calledlets,1
familynobody,1
telephone,1
prattthis,1
clarksonits,1
mothershes,1
deadcan,1
downit,1
truerogermother,1
deaddaddy,1
winterand,1
crydianeroger,1
saidlets,1
noyou,1
themnobody,1
sorrylook,1
dianebe,1
quiethe,1
moneytoodont,1
truediane,1
saidohi,1
houseim,1
outim,1
river,1
saidthe,1
herbeautiful,1
dogsdaddy,1
younow,1
movehe,1
telephoneits,1
truehe,1
thoughti,1
richthings,1
easier,1
motherwhy,1
deadslowlyroger,1
fat,1
without,1
hairhe,1
doctor,1
