单词,次数
saidwere,1
moneyhe,1
dogsi,1
dogsthey,1
antarcticwe,1
sixteen,1
betterand,1
tomorrow,1
comingwe,1
poniesmotor,1
menthats,1
allforget,1
amundsenhes,1
poniesbut,1
let,1
buy,1
themwhen,1
poniesin,1
zealandhe,1
unhappymost,1
oldand,1
poniestitusscott,1
chinatheyre,1
angrilyand,1
nothingthen,1
askedwhere,1
foodcaptain,1
herescott,1
insidehe,1
minutewe,1
thiscaptain,1
scottthese,1
coldest,1
earththey,1
foodmore,1
quietlywe,1
shiptituswhere,1
itbut,1
matterold,1
boytheyre,1
poniesyou,1
knowthe,1
motherthere,1
nineteen,1
nowhe,1
wroteall,1
penies,1
shipwe,1
poniesso,1
table,1
dirtyscott,1
makes,1
mistakesi,1
thinkand,1
shipsterra,1
framarrived,1
antarcticain,1
summerthe,1
beglnning,1
antarctic,1
norwegianssledgesthey,1
beside,1
full,1
skisand,1
framheimoutside,1
housethe,1
snowwhen,1
readythe,1
depotsfor,1
needed,1
thfive,1
menthree,1
sledgeseighteen,1
tonne,1
antarcticbetweencentigrade,1
andcentigradethe,1
goodand,1
fastthey,1
dayafter,1
carefullyit,1
againnext,1
summerso,1
topthen,1
depoteach,1
kilometre,1
nextand,1
westso,1
depotand,1
framheimand,1
souththis,1
harderthe,1
centigradeand,1
boots,1
badat,1
flagsto,1
rdit,1
antarctictheir,1
far,1
nownear,1
americathey,1
make,1
meneight,1
twentysix,1
dogsthe,1
poniesfeet,1
itevery,1
firstand,1
laterbecause,1
fasterat,1
nightthe,1
fifteen,1
scottthere,1
windand,1
illcaptainoates,1
stupidoatesscott,1
answeredtheyre,1
animalsthe,1
threeoates,1
saidtheyre,1
illand,1
unhappyand,1
walklets,1
themand,1
meat,1
herein,1
snowwe,1
itor,1
notscott,1
angrilythese,1
friendsthey,1
usi,1
latertwo,1
slower,1
amundsensit,1
souththey,1
large,1
itthen,1
sometimesthere,1
water,1
itone,1
seven,1
seaand,1
diedone,1
also,1
monthsoutside,1
centigradethe,1
houseand,1
rooms,1
shops,1
wasnt,1
themhe,1
changed,1
things,1
sledgessoon,1
stronger,1
beforethe,1
fastertoo,1
equipmentthe,1
sledgesskistentsevery,1
dayamundsen,1
scottone,1
dayin,1
midwinterhe,1
earlybefore,1
scottamundsen,1
saidrememberscott,1
sledgestooperhaps,1
laughedoh,1
nothey,1
mehe,1
saidon,1
snownothing,1
