单词,次数
nice,1
laughwellhe,1
saidperhaps,1
riccionowdo,1
deadand,1
remember,1
nighthusbandi,1
himremember,1
wellthink,1
thathenry,1
afraidwhats,1
matterhusbandi,1
crying,1
themhe,1
theyre,1
againi,1
theythey,1
ustheyre,1
queenthey,1
ii,1
quietlythen,1
perhapsmarythey,1
thatyesterdaybut,1
againwhat,1
run,1
awayi,1
saidhenry,1
mehenryand,1
childsay,1
anythinglie,1
tonight,1
itall,1
castlesome,1
afraidcome,1
onhe,1
saidride,1
fasterwoman,1
slow,1
bours,1
raini,1
illthink,1
make,1
thatjamesthen,1
sleptand,1
mansoon,1
summer,1
ruled,1
june,1
inmy,1
saidthis,1
sonisnt,1
youjames,1
namehe,1
thatnever,1
nowthe,1
bothwella,1
strongclever,1
older,1
fighter,1
fatherdarnleywas,1
glasgowi,1
far,1
where,1
goi,1
stay,1
ofieldoutside,1
upstairs,1
visited,1
sundayth,1
sangand,1
tiredgood,1
armyour,1
rememberpeople,1
singing,1
tonighteveryone,1
forgoti,1
saidof,1
unhappyplease,1
gohe,1
remembered,1
diedso,1
saidgood,1
nighthenrybe,1
jesus,1
dirty,1
arei,1
forgot,1
fatherit,1
itnothing,1
sudden,1
noisea,1
bang,1
everybody,1
godi,1
saidwhats,1
roomslord,1
downstairsdont,1
ladieshe,1
saidmy,1
outsidetheyre,1
hour,1
meplease,1
yesmy,1
lordwhat,1
buthow,1
ladythat,1
bangthat,1
housekirk,1
ladybothwell,1
slowlymy,1
wearing,1
himnow,1
early,1
nowno,1
walls,1
windowsnothingand,1
way,1
himbut,1
afraidi,1
someone,1
changed,1
saidbothwell,1
darnleyi,1
sold,1
horrible,1
pictures,1
same,1
darnleys,1
himi,1
spring,1
onth,1
april,1
northi,1
mesix,1
miles,1
townlord,1
heremy,1
castlehe,1
excitedtoobutmy,1
lordyou,1
whats,1
nothingwhat,1
sayi,1
himand,1
friendsso,1
divorce,1
himsoon,1
may,1
junebothwell,1
carberry,1
hill,1
armies,1
fatherdarnley,1
bothwellour,1
theirslets,1
both,1
kirkcaldy,1
memy,1
uswe,1
mekill,1
sleeps,1
killerwe,1
againthey,1
prisonthere,1
childrenthere,1
babieswer,1
deadi,1
babies,1
lindsay,1
imary,1
kingdom,1
jamesfrom,1
today,1
scotsbut,1
lettermary,1
importantjamesit,1
anythingi,1
changes,1
denmark,1
prisoner,1
morayyou,1
prisonshe,1
saidit,1
thatbut,1
sonwilliamliked,1
william,1
womens,1
shut,1
fathers,1
armymary,1
againpeople,1
sonyou,1
langside,1
glasgowand,1
lost,1
stronger,1
englandqueen,1
understandsshe,1
queenlike,1
jamesi,1
freei,1
armyshe,1
prisonyou,1
thisjamesit,1
lifenot,1
mine,1
twentyfive,1
fortyfive,1
nowtwenty,1
prisons,1
told,1
saidmary,1
truetheyre,1
liesthey,1
jameswhy,1
enemyyou,1
youyou,1
lied,1
mejamesmoray,1
toothey,1
sons,1
jamesforgive,1
mesometimes,1
angryit,1
dosometimes,1
didntshe,1
bcause,1
ask,1
themsometimes,1
elizabeths,1
protestants,1
lettersyou,1
womanthey,1
elizabethyoure,1
l,1
helpi,1
scotandbutmy,1
lordsshe,1
freedont,1
backwhy,1
meand,1
answer,1
live,1
writing,1
yesterday,1
afternoonth,1
englishman,1
shrewsburycame,1
maryi,1
sorrymy,1
tomorrow,1
movewhenshe,1
half,1
past,1
eight,1
morninghe,1
nightwe,1
jamesgive,1
pleaseshe,1
ladyi,1
youking,1
jamesthis,1
upprayed,1
dressed,1
feet,1
herher,1
hundred,1
hermy,1
saidpray,1
noshe,1
saidthank,1
understands,1
thatshe,1
youmary,1
tiredand,1
open,1
goddo,1
friendsdont,1
meladiesshe,1
walk,1
petticoatwith,1
lifeoh,1
godinto,1
lifted,1
once,1
twice,1
godthree,1
timesand,1
headher,1
poorpoor,1
headfell,1
thinga,1
heada,1
bloodblood,1
executioners,1
shoes,1
everywhere,1
bloody,1
lordthe,1
mothers,1
finishes,1
herewe,1
